text,label
We are pleased to offer you the position of Backend Developer at Zenith Infotech. This is a 6-month internship (pre-placement offer track) position with a stipend of ₹28000/month. Please find the offer letter attached and reply to hr@zenith.com to confirm. No fees are required at any stage of our hiring process. You will receive login credentials to our HR portal after joining.,0
"You are selected without any interview. Work-from-home Business Development Associate position available.  Share your Aadhaar number and bank account details for verification. Only 7 seats remaining, immediate joining required. Earn up to ₹8000/day, no experience required.",1
"Congratulations! Following your interview on 12 September, we are happy to offer you the role of Social Media Intern at TrueNorth Consulting. The role is internship (pre-placement offer track) and comes with a stipend of ₹38000, along with mentorship from our senior engineers. Please find the offer letter attached and reply to hr@truenorth.com to confirm. We never ask candidates for payment as part of our hiring process. You will receive login credentials to our HR portal after joining.",0
"Provide your PAN card number and debit card details to proceed. Work-from-home Business Development Associate position available.  Earn up to ₹6000/day, no experience required. Instant selection — no interview required.",1
"We're hiring for a Graphic Design Intern, work from home, flexible hours. Stipend ₹11500/month. Fast-track selection, minimal interview process.",1
"Congratulations! Following your interview on 27 September, we are happy to offer you the role of Backend Developer at Zenith Infotech. This is a 6-month full-time position with a stipend of ₹53000/month. Please find the offer letter attached and reply to hr@zenith.com to confirm. No fees are required at any stage of our hiring process.",0
"We're hiring for a Backend Developer, work from home, flexible hours. Stipend ₹9600/month. A small ₹400 verification fee applies for the onboarding kit.",1
"We're hiring for a HR Trainee, work from home, flexible hours. Stipend ₹10500/month. Please reply on WhatsApp for quick processing and share your resume.",1
"We are pleased to offer you the position of Operations Trainee at Evergreen Logistics. The role is internship (pre-placement offer track) and comes with a stipend of ₹54000, along with mentorship from our senior engineers. You can reach our HR team at hr@evergreen.com for any questions about onboarding. There is no cost to you at any point during recruitment or onboarding. You will receive login credentials to our HR portal after joining.",0
"This letter confirms your selection as Operations Trainee at Vertex Analytics, based in Delhi. Your compensation will be ₹47000 per month, paid on the last working day of each month. Kindly sign and return the attached offer letter to hr@vertex.com within 5 working days. No fees are required at any stage of our hiring process.",0
"We are pleased to offer you the position of Operations Trainee at Crestview Technologies. Your compensation will be ₹26000 per month, paid on the last working day of each month. You can reach our HR team at hr@crestview.com for any questions about onboarding. There is no cost to you at any point during recruitment or onboarding. Your onboarding documents will be shared by our HR team next week.",0
"This letter confirms your selection as Content Writing Intern at TrueNorth Consulting, based in Chennai. The role is full-time and comes with a stipend of ₹24000, along with mentorship from our senior engineers. Kindly sign and return the attached offer letter to hr@truenorth.com within 5 working days. No fees are required at any stage of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
We are pleased to offer you the position of Data Entry Executive at Nova Softwares. This is a 3-month full-time position with a stipend of ₹20000/month. Please find the offer letter attached and reply to hr@nova.com to confirm. No fees are required at any stage of our hiring process.,0
"Contact only on WhatsApp: +91 9000000000. Social Media Intern opening.  URGENT REQUIREMENT!! Apply within 24 hours, only 12 seats left!",1
"Business Development Associate opening.  For quick processing, reply only on Telegram. Please pay ₹2500 as a security deposit, fully refundable after 1 month. Earn up to ₹7500/day, no experience required. Instant selection — no interview required.",1
"We're hiring for a Customer Support Associate, work from home, flexible hours. Stipend ₹6400/month. Fast-track selection, minimal interview process.",1
"We're hiring for a Operations Trainee, work from home, flexible hours. Stipend ₹8400/month. Fast-track selection, minimal interview process.",1
"This letter confirms your selection as Social Media Intern at Vertex Analytics, based in Chennai. The role is full-time and comes with a stipend of ₹55000, along with mentorship from our senior engineers. You can reach our HR team at hr@vertex.com for any questions about onboarding. There is no cost to you at any point during recruitment or onboarding. Your onboarding documents will be shared by our HR team next week.",0
"This letter confirms your selection as Sales Executive at Nova Softwares, based in Pune. Your compensation will be ₹20000 per month, paid on the last working day of each month. Kindly sign and return the attached offer letter to hr@nova.com within 5 working days. There is no cost to you at any point during recruitment or onboarding.",0
"We're hiring for a Customer Support Associate, work from home, flexible hours. Stipend ₹8350/month. Please reply on WhatsApp for quick processing and share your resume.",1
"We are pleased to offer you the position of Customer Support Associate at Pinnacle Retail Group. The role is full-time and comes with a stipend of ₹41000, along with mentorship from our senior engineers. Please find the offer letter attached and reply to hr@pinnacle.com to confirm. There is no cost to you at any point during recruitment or onboarding. You will receive login credentials to our HR portal after joining.",0
"Send your OTP to confirm your registration. No experience needed — earn ₹2300 daily starting day one. All further communication will happen on WhatsApp only. Work-from-home Backend Developer position available.  Only 12 seats remaining, immediate joining required. To confirm your seat, pay a refundable registration fee of ₹2550 via UPI.",1
"Congratulations! Following your interview on 17 September, we are happy to offer you the role of Content Writing Intern at Quantum Labs India. Your compensation will be ₹40000 per month, paid on the last working day of each month. Please find the offer letter attached and reply to hr@quantum.com to confirm. No fees are required at any stage of our hiring process.",0
"Work-from-home Sales Executive position available.  Guaranteed income of ₹7750 per day, work just 2 hours! Provide your PAN card number and debit card details to proceed. Hurry! Limited slots available, act now to secure your position. Instant selection — no interview required. For quick processing, reply only on Telegram.",1
"Congratulations! Following your interview on 20 September, we are happy to offer you the role of Digital Marketing Intern at Zenith Infotech. Your compensation will be ₹23000 per month, paid on the last working day of each month. Please find the offer letter attached and reply to hr@zenith.com to confirm. There is no cost to you at any point during recruitment or onboarding. You will receive login credentials to our HR portal after joining.",0
"Work-from-home Social Media Intern position available.  Provide your PAN card number and debit card details to proceed. A one-time processing fee of ₹2750 is required before we issue your ID. Earn up to ₹5150/day, no experience required.",1
"This letter confirms your selection as Operations Trainee at Crestview Technologies, based in Hyderabad. The role is internship and comes with a stipend of ₹55000, along with mentorship from our senior engineers. Kindly sign and return the attached offer letter to hr@crestview.com within 5 working days. There is no cost to you at any point during recruitment or onboarding. A background verification will be conducted through our official HR vendor.",0
Work-from-home Software Engineering Intern position available.  This offer is valid only for the next 12 hours — apply immediately. No experience needed — earn ₹5650 daily starting day one. An onboarding kit fee of ₹850 must be paid via Paytm/GPay to activate your offer.,1
"Only 15 seats remaining, immediate joining required. Earn up to ₹4600/day, no experience required. You are selected without any interview. Backend Developer opening.  Provide your PAN card number and debit card details to proceed. Please pay ₹2250 as a security deposit, fully refundable after 1 month.",1
"This letter confirms your selection as Customer Support Associate at Pinnacle Retail Group, based in Chennai. The role is full-time and comes with a stipend of ₹18000, along with mentorship from our senior engineers. You can reach our HR team at hr@pinnacle.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
We need your CVV and bank account number to process your first payment. Work-from-home Digital Marketing Intern position available.  Reach out on our personal Gmail id for further steps. No experience needed — earn ₹6950 daily starting day one. You are selected without any interview.,1
Instant selection — no interview required. Work-from-home Sales Executive position available.  Share your Aadhaar number and bank account details for verification.,1
"We are pleased to offer you the position of Content Writing Intern at Meridian Systems Pvt Ltd. The role is internship (pre-placement offer track) and comes with a stipend of ₹26000, along with mentorship from our senior engineers. You can reach our HR team at hr@meridian.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
"We're hiring for a Software Engineering Intern, work from home, flexible hours. Stipend ₹7200/month. A small ₹450 verification fee applies for the onboarding kit.",1
Reach out on our personal Gmail id for further steps. You are selected without any interview. Share your Aadhaar number and bank account details for verification. Data Entry Executive opening. ,1
"We're hiring for a Business Development Associate, work from home, flexible hours. Stipend ₹4150/month. Fast-track selection, minimal interview process.",1
"We are pleased to offer you the position of Content Writing Intern at Brightpath Solutions. The role is internship and comes with a stipend of ₹54000, along with mentorship from our senior engineers. You can reach our HR team at hr@brightpath.com for any questions about onboarding. There is no cost to you at any point during recruitment or onboarding. You will receive login credentials to our HR portal after joining.",0
"Guaranteed job, no interview or test needed. Work-from-home Social Media Intern position available.  Contact only on WhatsApp: +91 9000000000. Earn up to ₹4950/day, no experience required.",1
"We're hiring for a Sales Executive, work from home, flexible hours. Stipend ₹8550/month. Fast-track selection, minimal interview process.",1
"No experience needed — earn ₹7050 daily starting day one. Hurry! Limited slots available, act now to secure your position. Software Engineering Intern opening. ",1
"This letter confirms your selection as Software Engineering Intern at Quantum Labs India, based in Delhi. This is a 3-month internship (pre-placement offer track) position with a stipend of ₹47000/month. You can reach our HR team at hr@quantum.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. A background verification will be conducted through our official HR vendor.",0
"A one-time processing fee of ₹700 is required before we issue your ID. Guaranteed job, no interview or test needed. Work-from-home Software Engineering Intern position available. ",1
"All further communication will happen on WhatsApp only. Training material charges of ₹1850 apply and must be paid upfront. Customer Support Associate opening.  Guaranteed job, no interview or test needed. Provide your PAN card number and debit card details to proceed. This offer is valid only for the next 14 hours — apply immediately.",1
"We are pleased to offer you the position of Sales Executive at Crestview Technologies. Your compensation will be ₹54000 per month, paid on the last working day of each month. Please find the offer letter attached and reply to hr@crestview.com to confirm. No fees are required at any stage of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
"Work-from-home Graphic Design Intern position available.  Instant selection — no interview required. All further communication will happen on WhatsApp only. Hurry! Limited slots available, act now to secure your position. Share your Aadhaar number and bank account details for verification. Guaranteed income of ₹7350 per day, work just 2 hours!",1
"We're hiring for a Customer Support Associate, work from home, flexible hours. Stipend ₹6700/month. Fast-track selection, minimal interview process.",1
"Please pay ₹2900 as a security deposit, fully refundable after 1 month. Guaranteed job, no interview or test needed. For quick processing, reply only on Telegram. Guaranteed income of ₹2150 per day, work just 2 hours! Work-from-home Sales Executive position available.  Share your Aadhaar number and bank account details for verification.",1
"This letter confirms your selection as Business Development Associate at Meridian Systems Pvt Ltd, based in Delhi. The role is internship (pre-placement offer track) and comes with a stipend of ₹20000, along with mentorship from our senior engineers. Please find the offer letter attached and reply to hr@meridian.com to confirm. No fees are required at any stage of our hiring process. You will receive login credentials to our HR portal after joining.",0
"We're hiring for a Graphic Design Intern, work from home, flexible hours. Stipend ₹7050/month. Please reply on WhatsApp for quick processing and share your resume.",1
